City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
hazeldene,Hazeldene,KwaZulu Natal,-30.508197,30.529343,2
hazeldene,Hazeldene,Eastern Cape,-31.963123,25.690542,5
hazenjacht,Hazenjacht,Western Cape,-33.550528,22.415381,11
hazyview,Hazyview,Mpumalanga,-25.043983,31.12767,7
healdton fingo,Healdton Fingo,Eastern Cape,-32.733333,26.666667,5
healdtown,Healdtown,Eastern Cape,-32.716667,26.716667,5
heather bell,Heather Bell,Gauteng,-26.083333,28.333333,6
heatherlands,Heatherlands,Western Cape,-33.949486,22.442853,11
heathfield,Heathfield,Eastern Cape,-31.846545,26.003817,5
heathfield,Heathfield,Western Cape,-34.047645,18.46808,11
heathview,Heathview,North West,-25.944668,25.39108,10
heatonville,Heatonville,KwaZulu Natal,-28.661941,31.785615,2
heavyrest mission,Heavyrest Mission,North West,-27.456445,24.737857,10
hebehebe,Hebehebe,Eastern Cape,-32.236075,27.830299,5
hebron,Hebron,Free State,-29.001927,25.962277,3
hebron,Hebron,Eastern Cape,-30.675327,26.436019,5
hebron,Hebron,North West,-25.550242,28.022796,10
heckel,Heckel,Eastern Cape,-32.450664,27.538772,5
hectorspruit,Hectorspruit,Mpumalanga,-25.441146,31.68382,7
hedley plains,Hedley Plains,Northern Cape,-29.680453,21.550517,8
heelfontein,Heelfontein,Free State,-29.555184,26.551272,3
heelgoed,Heelgoed,Free State,-30.1,27.3,3
heeltevrede,Heeltevrede,Free State,-29.017867,26.182685,3
heidelberg,Heidelberg,Gauteng,-26.504759,28.359214,6
heidelberg,Heidelberg,Western Cape,-34.091267,20.956611,11
heidelburg,Heidelburg,Gauteng,-26.504759,28.359214,6
heideveld,Heideveld,Western Cape,-33.964769,18.548435,11
heights,Heights,Eastern Cape,-33.854513,23.976492,5
heilbron,Heilbron,Free State,-27.281154,27.970901,3
heilbron,Heilbron,Eastern Cape,-31.695219,26.06337,5
heiso,Heiso,North West,-27.296651,23.828334,10
hekpoort,Hekpoort,Gauteng,-25.882235,27.61654,6
hekpoort,Hekpoort,Limpopo,-23.778107,29.974441,9
hela hela,Hela Hela,KwaZulu Natal,-29.908307,30.097036,2
zamdela,Zamdela,Free State,-26.837306,27.843526,3
zamenkomst,Zamenkomst,Mpumalanga,-24.983333,29.033333,7
zamokwake,Zamokwake,KwaZulu Natal,-27.994763,31.986663,2
zanci,Zanci,Eastern Cape,-31.834049,28.858755,5
zandbergshoop,Zandbergshoop,Northern Cape,-29.616564,21.104566,8
zandbult,Zandbult,Limpopo,-23.683333,27.25,9
zanddraai,Zanddraai,Free State,-27.841501,28.788046,3
zandfontein,Zandfontein,Eastern Cape,-31.374506,26.202694,5
zandfontein,Zandfontein,Limpopo,-23.728268,29.121947,9
zandkraalpoort,Zandkraalpoort,Eastern Cape,-33.266667,24.016667,5
zandkraalspoort,Zandkraalspoort,Eastern Cape,-33.266667,24.016667,5
zand rivier,Zand Rivier,Western Cape,-33.151437,20.023664,11
zandukwane,Zandukwane,Eastern Cape,-31.380062,28.838693,5
zandvlakte,Zandvlakte,Eastern Cape,-33.581871,24.16594,5
zandvlei,Zandvlei,Northern Cape,-30.63181,21.981082,8
